date,Sentiment,average_sentiment_score
24-04-2020,negative,0.464253128
25-04-2020,negative,0.434883624
26-04-2020,positive,0.570325196
27-04-2020,negative,0.483994216
28-04-2020,negative,0.499205232
29-04-2020,positive,0.559774339
30-04-2020,negative,0.454283923
01-05-2020,negative,0.460924983
02-05-2020,negative,0.473463058
03-05-2020,negative,0.428149998
04-05-2020,negative,0.408472747
05-05-2020,positive,0.521201849
06-05-2020,positive,0.554894209
07-05-2020,negative,0.492601454
08-05-2020,negative,0.406082481
09-05-2020,negative,0.460147351
10-05-2020,positive,0.607628882
11-05-2020,negative,0.472868592
12-05-2020,negative,0.47187078
13-05-2020,negative,0.381679386
14-05-2020,negative,0.39285472
15-05-2020,negative,0.368119448
16-05-2020,negative,0.447737157
17-05-2020,positive,0.635933101
18-05-2020,positive,0.520159185
19-05-2020,positive,0.52422899
20-05-2020,negative,0.494363576
21-05-2020,negative,0.477392852
22-05-2020,positive,0.561523497
23-05-2020,positive,0.596495986
24-05-2020,positive,0.559877336
25-05-2020,positive,0.568069458
